Security assistance,Program it was sourced under,Category,Number Provided, Total cost estimate ,Source for cost
Patriot air defense batteries,Presidential drawdown authority (PDA),Air defense,3," $1,200,000,000.00 ",https://crsreports.congress.gov/product/pdf/IF/IF12297
MIM-104 PAC-2 and PAC-3 Patriot missiles,Both,Air defense,450," $1,800,000,000.00 ",https://crsreports.congress.gov/product/pdf/IF/IF12297
National Advanced Surface-to-Air Missile Systems (NASAMS) and munitions,Both,Air defense,12," $3,420,000,000.00 ",https://www.dsca.mil/press-media/major-arms-sales/ukraine-national-advanced-surface-air-missile-system-nasams
HAWK air defense systems,Ukraine Security Assistance Initiative (USAI),Air defense,1," $30,000,000.00 ",https://history.redstone.army.mil/miss-hawk.html
MIM-23B HAWK missiles,Both,Air defense,100," $25,000,000.00 ",https://history.redstone.army.mil/miss-hawk.html
AIM-7 missiles,Presidential drawdown authority (PDA),Air defense,400," $50,000,000.00 ",https://www.af.mil/About-Us/Fact-Sheets/Display/Article/104575/aim-7-sparrow/
RIM-7 missiles,Presidential drawdown authority (PDA),Air defense,, 165400 per missile ,https://missiledefenseadvocacy.org/missile-defense-systems-2/missile-defense-systems/u-s-deployed-intercept-systems/sea-sparrow-missile/
AIM-9M missiles,Presidential drawdown authority (PDA),Air defense,600," $264,000,000.00 ",(p103) https://web.archive.org/web/20201219025102/https://www.secnav.navy.mil/fmc/fmb/Documents/21pres/WPN_Book.pdf
AIM-120C AMRAAM missiles,Ukraine Security Assistance Initiative (USAI),Air defense,250," $250,000,000.00 ",https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/FY2025_Weapons.pdf
Stinger anti-aircraft missiles,Presidential drawdown authority (PDA),Air defense,"3,000"," $360,000,000.00 ",https://mil.in.ua/en/news/stinger-missile-upgrade-u-s-army-completes-refurbishment-of-1-900-missiles/
Avenger air defense systems,Presidential drawdown authority (PDA),Air defense,12," $600,000,000.00 ",(inflation-adjusted) https://comptroller.defense.gov/Portals/45/Documents/defbudget/docs/fy2001_weabook.pdf
VAMPIRE counter-Unmanned Aerial Systems (c-UAS),Ukraine Security Assistance Initiative (USAI),Air defense,14," $40,000,000.00 ",https://www.defensenews.com/pentagon/2023/01/09/pentagon-awards-40m-vampire-contract-for-ukraines-drone-defenses/
Advanced Precision Kill Weapon System II (APKWS) missiles,Ukraine Security Assistance Initiative (USAI),Air defense,300," $7,500,000.00 ",(inflation-adjusted) https://www.defense.gov/News/Contracts/Contract/Article/1561988/
30mm c-UAS gun trucks,Ukraine Security Assistance Initiative (USAI),Air defense,9,,https://www.nationaldefensemagazine.org/articles/2023/5/22/us-made--counter-drone-trucks-head-for-ukraine
30mm and 23mm anti-aircraft ammunition,Ukraine Security Assistance Initiative (USAI),Air defense,, 1000 per round ,https://asiapacificdefencereporter.com/rheinmetall-wins-e576-million-contract-to-supply-30mm-ammunition/
Mobile c-UAS laser-guided rocket systems,Ukraine Security Assistance Initiative (USAI),Air defense,10,,https://www.defense.gov/News/Releases/Release/Article/3350958/biden-administration-announces-additional-security-assistance-for-ukraine/
.50 caliber machine guns and ammunition to counter Unmanned Aerial Systems,Presidential drawdown authority (PDA),Air defense,190," $2,660,000.00 ",https://apnews.com/article/government-and-politics-business-024ab4bc787e51b49e7107465af77954
AN/TPQ-64 Sentinel air search radar,Ukraine Security Assistance Initiative (USAI),Air defense,21," $525,000,000.00 ",https://www.dsca.mil/press-media/major-arms-sales/romania-sentinel-radar-systems
ATACMS missiles,Presidential drawdown authority (PDA),Fires,500," $750,000,000.00 ",(estimated) https://www.kyivpost.com/post/42443
